Status,Subsystem,Supplier,Description,Qty.,Cost,Total Cost,Link
In Stock,Engine,Ebay,Master Switch,1,8.59,8.59,https://www.ebay.com/itm/272782717424?epid=1630685860&_trkparms=ispr%3D1&hash=item3f831df1f0:g:nCEAAOSwVL1WCK82&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6nSYY6G1tjuRdezD8%252BHZAxaBujWI8jXb2%252FYIRbDtspNYc6V6A9u6fYmLL0dFxJPYcQNCVDEKwRnS3ZawKJkXC9ghBAJCpeBpToV1J5xh26%252B1B3T51x3CqSFuWsizLE18wcRaGmvcjHpKtEC3lUY9%252FYWdpnqAjr5MhVXJAnggRYKcDZzhVxVASK9cqO0rWgdL1tXzc8vR%252BPRN3sHsbh4JXcYmUPWOk%252FuAN3sE3ZSW9Oc4CuR%252FnR7Jjhik0MqG2mBeZn0gZNNRe%252BJ3DOebnRVQYCQWx9eoVMZtQ864mx5Qtiu011HtpXtx%252BtH1IDMMA7DlHip8RX8lYqyd3RKmunbDC1QMkxHYq7tQ5tAm0Y342de457SbNH8nI%252BjT7NVyupxHTYhT6CC4ul1WpzETautSQuIfWRUiGAFIFYcnTVl0mPvuTVbg3FT7qoNFHM9Vw6xI09oTrydZCfNXKnRWJZitLVk%252FaRUVCwNGuVjTOVSOrufwilbNps1lZyi4iqNtBqOhQYCbWDqM3Gcl6qBrw96WlldRVJwpWMxLp39WoAHhnrUlxB%252BbkNVl0H4IqjBg0IIBbQ6Gf00042cgQg7D8BpNjyiV%252FcT4aN%252FjsKMOp0J9y%252FP381lkkVutzBleAt9R3pLvHjihpdnI6xnAXSfV%252FEnZlZ4Su4QDiseD5jeyILz4POkdwHMwcrGk%252BSaG5C460zKV5kYr0LWleSZqFkOQTQNrbHBxfyt%252BOJHOW2DMt8k2QDlI3A7hAClC63D7dRdHNEHshMJ%252Bi%252FtgSeIKS6Hh4NUoU1hExwTY8ogqAR3VrBasYTZv%7Cclp%3A2334524%7Ctkp%3ABFBM6uPc6Z5f
In Stock,Engine,Ebay,OEM Replacement Honeywell GT101 Hall Effect Sensor,4,26.10,104.40,https://www.ebay.com/itm/202121347347?hash=item2f0f5f0113:g:TcEAAOSwv~1aFKnR
In Stock,Engine,Stainless Bros,Stainless Exhaust Hook and Tension Spring for Slip Joint - Black Silicone (2 Pack),2,16.99,33.98,https://www.stainlessbros.com/Stainless-Exhaust-Hook-and-Tension-Spring-for-Slip-Joint--Black-Silicone-2-Pack-_p_394.html
In Stock,Engine,Amazon,P1 Tools Motorcycle Exhaust Spring Hook Tool T-Handle Type with Rubber Coating,1,6.99,6.99,https://smile.amazon.com/P1-Tools-Motorcycle-Exhaust-T-Handle/dp/B08DS7DD7D
In Stock,Engine,Stainless Bros,"1.88"" SS304 Slip Joint Connector - 16GA Wall",1,16.99,16.99,https://www.stainlessbros.com/188-SS304-Slip-Joint-Connector--16GA-Wall_p_92.html
In Stock,Engine,Stainless Bros,"1.625"" SS304 90° Elbow - 1.5D / 2.44"" CLR - 16GA / .065"" - No Leg",3,11.49,34.47,https://www.stainlessbros.com/1625-SS304-90%C2%B0-Elbow--15D-244-CLR--16GA-065--No-Leg_p_924.html
In Stock,Engine,Stainless Bros,"1.88"" SS304 90° Elbow - 1.5D / 2.82"" CLR - 16GA / .065"" - No Leg",8,13.99,111.92,https://www.stainlessbros.com/188-SS304-90%C2%B0-Elbow--15D-282-CLR--16GA-065--No-Leg_p_925.html
In Stock,Engine,Stainless Bros,"1 7/8"" SS304 Straight Tube - 16GA(.065"") Wall - 48"" Length",1,52.99,52.99,https://www.stainlessbros.com/1-78-SS304-Straight-Tube--16GA065-Wall--48-Length_p_104.html
In Stock,Engine,Stainless Bros,SS304 Cast Round Saddle Type O2 Sensor Bung M18x1.5,1,9.99,9.99,https://www.stainlessbros.com/cast-304-round-saddle-type-o2-sensor-bung-m18x15.html
In Stock,Engine,Stainless Bros,"1 3/8"" SS304 Straight Tube - 16GA(.065"") Wall - 48"" Length",1,41.99,41.99,https://www.stainlessbros.com/1-38-SS304-Straight-Tube--16GA065-Wall--48-Length_p_101.html
In Stock,Engine,Burns Stainless,"2 into 1 base collector. IMPORTANT: Outlet Size: 1.625, OD: 1.38, Wall Size: 16g, Material: 304 Steel",2,156.45,312.90,https://burnsstainless.com/products/2-into-1-base?variant=8774761578587
In Stock,Engine,Burns Stainless,"2 into 1 base collector. IMPORTANT: Outlet Size: 1.875, OD: 1.63, Wall Size: 16g, Material: 304 Steel",2,160.65,321.30,https://burnsstainless.com/products/2-into-1-base?variant=8774761840731
In Stock,Engine,Partzilla,R6 OEM Hose Joint (1in to 1/2in splitter),1,24.76,24.76,https://www.partzilla.com/product/yamaha/20S-12581-01-00?ref=afd06fd3abaed3486a2feaf794b915b0a97fe978
In Stock,Engine,Performance Electronics,Map Sensor Connector,1,6.50,6.50,https://pe-ltd.com/product/3-pin-female-metripack-compact-map/
In Stock,Engine,Amazon,GM coolant sensor,2,16.93,33.86,https://www.amazon.com/ACDelco-213-77-Original-Equipment-Temperature/dp/B000C9JS5C
In Stock,Engine,Amazon,GM air temp sensor,1,19.75,19.75,https://www.amazon.com/Genuine-GM-25036751-Charge-Temperature/dp/B000ECMZ20
In Stock,Engine,Amazon,Russel Fuel Filter,1,23.95,23.95,https://www.amazon.com/RUSSELL-650133-Russell-FUEL-FILTER/dp/B0014BDEGG
In Stock,Engine,Amazon,Ignition Coil 4pk,1,74.99,74.99,https://www.amazon.com/dp/B08K35D18T/ref=cm_sw_r_oth_api_glt_fabc_GTQAR351EG84W48QXCRV?_encoding=UTF8
In Stock,Engine,Amazon,Adhesive-backed foam vibration damping for battery,1,24.99,24.99,https://www.amazon.com/Sheets-Adhesive-Neoprene-Insulation-Vibration/dp/B08P1XQMQH/ref=sr_1_3?keywords=Closed+Cell+Foam+Sheet
In Stock,Engine,Revival Cycles,LIFEPO4 Voltage Regulator Rectifier,1,160.00,160.00,https://revivalcycles.com/products/lifepo4-compatible-mosfet-regulator-rectifier
In Stock,Engine,Amazon,LA Choppers Baffle 24 Inch Steel for 1.5 in Exhausts,1,36.29,36.29,https://smile.amazon.com/Choppers-Universal-Exhaust-Baffle-1-5/dp/B00230OM40
In Stock,Engine,K&N ,Universal Clamp on air filter,1,42.79,42.79,https://www.knfilters.com/rc-1090-universal-clamp-on-air-filter
In Stock,Engine,McMaster,Fuel Pump P-clamp,2,1.91,3.82,https://www.mcmaster.com/3177T19/
In Stock,Engine,McMaster,"Fuel Tank Insulators (SOLD IN 25 PACKS, 13.01 PER PACK)",4,13.01,13.01,https://www.mcmaster.com/9311K131/
In Stock,Engine,McMaster,"High-temp Insulators for Overflow Tanks(SOLD IN 25 PACKS, 13.01 PER PACK)",3,13.01,13.01,https://www.mcmaster.com/9311K11/
In Stock,Engine,deatschwerks,DWR1000c AFPR Black (sponsored),1,129.00,129.00,https://deatschwerks.com/products/6-1002-frb?_pos=4&_sid=ac1b7e0a1&_ss=r
In Stock,Engine,Keizer,Oil Pan,1,354.63,354.63,https://madpans.com/
In Stock,Engine,Amazon,Earl's 10 Micron Fuel filter ,1,83.83,83.83,https://www.amazon.com/Earls-Performance-5-6102G-230606ERL-Filter/dp/B004SF956S
In Stock,Engine,Holley,15x8 HydraMat Cross Center Pickup (3/8 NPT pickup),1,254.95,254.95,https://www.holley.com/products/fuel_systems/hydramat/hydramats/parts/16-101
In Stock,Engine,Holley,HydraMat install kit,1,34.40,34.40,https://www.holley.com/products/fuel_systems/hydramat/hydramat_install_kits/parts/16-201
In Stock,Engine,Amazon,Gates submersible fuel line (2x 1 ft lengths needed),2,23.99,47.98,https://www.amazon.com/Gates-27093-Fuel-Line-Hose/dp/B001R5XSGU/ref=asc_df_B001R5XSGU/?tag=hyprod-20&linkCode=df0&hvadid=312684231807&hvpos=&hvnetw=g&hvrand=3702546984736800758&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9017773&hvtargid=pla-569462863390&psc=1&tag=&ref=&adgrpid=60983009663&hvpone=&hvptwo=&hvadid=312684231807&hvpos=&hvnetw=g&hvrand=3702546984736800758&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9017773&hvtargid=pla-569462863390
In Stock,Engine,Summit,ICT Billet AN861-06-31A - ICT Billet Fuel Cell Bulkhead Fittings,2,13.99,27.98,https://www.summitracing.com/parts/icb-an861-06-31a
In Stock,Engine,McMaster,"1-1/2"" OD, 0.083"" Wall Thickness Aluminum Tube (1 foot length)",1,20.18,20.18,https://www.mcmaster.com/9390N35-9390N184/
In Stock,Engine,Racetronix,1/4 Barb weld bung,2,2.41,4.82,https://www.racetronix.biz/p/weld-bung-1-4-barb-aluminum/fit-bungb14?dfw_tracker=58263-FIT-BUNGB14&gclid=CjwKCAiAwKyNBhBfEiwA_mrUMlsz5FqDwJs-QlZMDpZQYE_anpI84J9xTRwgrzswsi4L8GasGtdSyhoC4FEQAvD_BwE
In Stock,Engine,Amazon,10 ft braided 1/4 inch fuel line (for breather hose),1,20.99,20.99,https://www.amazon.com/10FT-Braided-Fuel-Line-Nylon/dp/B08GCT5W8G/ref=sr_1_23?keywords=abrasion+resistant+fuel+line+1%2F4&qid=1638642882&sr=8-23
In Stock,Engine,Summit,"Walbro GSL393BX - Walbro High-Pressure Inline Fuel Pumps (only 1 needed, we have spare)",1,126.99,126.99,https://www.summitracing.com/parts/vpn-gsl393bx
In Stock,Engine,kegworks,Fuel line 5/16 to 3/8 adapter stainless steel,1,2.99,2.99,https://www.kegworks.com/reducing-hose-splice-353e8d/?country=US&currency=USD&keyword=&matchtype=&device=c&adtype=&productgroup=884048402139&productidRHS316x516&utm_term=&utm_campaign=(ROI)+Smart+Shopping+-+Draft+Beer&utm_source=adwords&utm_medium=ppc&hsa_acc=1228391400&hsa_cam=9205648471&hsa_grp=92420092759&hsa_ad=415464424946&hsa_src=u&hsa_tgt=pla-884048402139&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAiAwKyNBhBfEiwA_mrUMgR1Di5AYBRSlO2udxGIExdWy5mhiDT6w77SQx9JhPQg8XgCXXCu3hoC0d4QAvD_BwE
In Stock,Engine,Amazon,"1"" to 3/4"" Barbed Hose Adapter",2,10.99,21.98,https://www.amazon.com/ICT-Billet-Intercooler-Manufactured-AN627-16-12A/dp/B084KJM4SL
In Stock,Engine,Amazon,"3/4"" x 3/4"" x 3/4"" Barbed Coolant Tee(Pack of 2)",2,5.99,11.98,https://www.amazon.com/KDP-Automotive-Connector-X3-Tee/dp/B092ZYFCC5/ref=psdc_15723221_t1_B000COB8IW?th=1
In Stock,Engine,O'Reilly Auto Parts,"1"" ID Heater Hose(minimum needed: 5ft)",6,3.29,19.74,https://www.oreillyauto.com/detail/c/safety-stripe/gates-safety-stripe-epdm-rubber-heater-hose/gats/28413
In Stock,Engine,AutoZone,"3/4"" ID Heater Hose(minimum needed: 9ft)",9,1.99,17.91,https://www.autozone.com/heating-and-cooling/universal-radiator-heater-hose/p/continental-black-3-4in-heater-hose/4951_0_0
In Stock,Engine,AutoZone,"1/2"" ID Heater Hose(minimum needed: 2ft)",2,1.99,3.98,https://www.autozone.com/heating-and-cooling/universal-radiator-heater-hose/p/continental-black-1-2in-heater-hose/4949_0_0
In Stock,Engine,McKenzie's,"SPAL 7-1/2"" Puller Fan",2,84.34,168.68,https://www.mckenzies.com/products/spal-7-5-puller-fan
In Stock,Engine,Davies Craig,EBP25 - ELECTRIC BOOSTER PUMP - BRUSHLESS 12V KIT (9025),1,200.90,200.90,https://daviescraig.com/product/ebp25-electric-booster-pump-brushless-12v-kit-9025
Canceled,Engine,Mouser,Deutsch Solid Contact Female,100,0.39,39.00,https://www.mouser.com/ProductDetail/TE-Connectivity-DEUTSCH/0462-201-16141?qs=%2Fha2pyFadugqHcSkmzSlil%2Fh5CfxSX6MNPJmWGAGhdwT2rdvb5bFbQ
Canceled,Engine,Mouser,Deutsch Solid Contact Male,100,0.42,42.10,https://www.mouser.com/ProductDetail/TE-Connectivity-DEUTSCH/0460-202-16141?qs=c4YXolTVxwEH%252BoGNbYrMVg%3D%3D
Hold Off,Engine,digikey,deutsch DTO4-6P 6 pin female,6,2.70,16.20,https://www.digikey.com/en/products/detail/te-connectivity-deutsch-connectors/DT04-6P/6566585
In Stock,Engine,Amazon,rocker switch for dyno cart controller,1,9.63,9.63,https://www.amazon.com/Nilight-90014E-Rocker-Toggle-Warranty/dp/B07QKFD7Z7/ref=asc_df_B07QKFD7Z7/?tag=&linkCode=df0&hvadid=362768105905&hvpos=&hvnetw=g&hvrand=9879744958122629589&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9017773&hvtargid=pla-784404092761&ref=&adgrpid=75266506039&th=1
In Stock,Engine,Amazon,Iridium spark plugs (4 total in pack),1,33.52,33.52,https://www.amazon.com/NGK-CR9EIX-Iridium-Spark-4-Pack/dp/B004SKYAWM/ref=pd_sbs_4/133-8087239-0536611?pd_rd_w=jdh4K&pf_rd_p=690958f6-2825-419e-9c16-73ffd4055b65&pf_rd_r=WGDW9Q48AAP8QB2NTAJF&pd_rd_r=c949c7e9-7f61-4c85-a820-a26065d23dea&pd_rd_wg=kFBXD&pd_rd_i=B004SKYAWM&psc=1
In Stock,Engine,Ebay,Mercury Maring Throttle body,1,14.99,14.99,https://www.ebay.com/itm/255191366236?_trkparms=amclksrc%3DITM%26aid%3D1110006%26algo%3DHOMESPLICE.SIM%26ao%3D1%26asc%3D20200818143230%26meid%3Dd4eb9aecb7b8426fa58997d330f879ff%26pid%3D101224%26rk%3D2%26rkt%3D5%26sd%3D294441383632%26itm%3D255191366236%26pmt%3D0%26noa%3D1%26pg%3D2047675%26algv%3DDefaultOrganicWeb%26brand%3DMercury&_trksid=p2047675.c101224.m-1
In Stock,Engine,Digikey,ECU Pins,100,0.09,9.00,https://www.digikey.com/en/products/detail/jae-electronics/M23S05K351/1839993
In Stock,Engine,Digikey,Pin ECU Plugs,2,8.84,17.68,https://www.digikey.com/en/products/detail/jae-electronics/MX23A34SF1/1969213?utm_adgroup=Rectangular%20Connectors%20-%20Housings&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Product_Connectors%2C%20Interconnects&utm_term=&utm_content=Rectangular%20Connectors%20-%20Housings&gclid=Cj0KCQjw5JSLBhCxARIsAHgO2SdvZUUwAwfs6k3m1sUNEjTFnrIR9hmL35h-In2_Tbi_Q5VxQmClxk8aAupPEALw_wcB
